motrpac_comp_id	motrpac_comp_name	super_class	main_class	sub_class	multicomp_flag	formula	monoisotopic_mass	hmdb_id	refmet_id	cas_id	kegg_id	chebi_id	pubchem_id	lipidmaps_id	inchi_key	notes_comments
M01010001.000	piperine	Alkaloids and derivatives	Alkaloids	Other alkaloids	FALSE	C17H19NO3	285.1365	HMDB0029377	43799	94-62-2	C03882	28821	638024	NA	MXXWOMGUGJBKIW-YPCIICBESA-N	NA
M01010002.000	trigonelline	Alkaloids and derivatives	Alkaloids	Other alkaloids	FALSE	C7H7NO2	137.0477	HMDB0000875	37479	535-83-1	C01004	18123	5570	NA	WWNNZCOKKKDOPX-UHFFFAOYSA-N	NA
M01020001.000	levorphanol	Alkaloids and derivatives	Aromatic heteropolycyclic compounds	Morphinans	FALSE	C17H23NO	257.178	HMDB0014992	43134	77-07-6	C08014	119572	5359272	NA	JAQUASYNZVUNQP-USXIJHARSA-N	NA
M01030001.000	quinine	Alkaloids and derivatives	Cinchona alkaloids	NA	FALSE	C20H24N2O2	324.1838	HMDB0014611	42816	130-95-0	C06526	15854	3034034	NA	LOUPRKONTZGTKE-WZBLMQSHSA-N	medicine/pesticide
M01040001.000	harman	Alkaloids and derivatives	Harmala alkaloids	NA	FALSE	C12H10N2	182.0844	HMDB0035196	46865	486-84-0	C09209	5623	5281404	NA	PSFDQSOCUJVVGF-UHFFFAOYSA-N	NA
M01050001.000	nor-psi-tropine	Alkaloids and derivatives	Tropane alkaloids	NA	FALSE	C7H13NO	127.0997	HMDB0031667	NA	501-33-7	NA	NA	68147	NA	YYMCYJLIYNNOMK-UHFFFAOYSA-N	NA
M02010001.000	4-aminohippurate	Benzenoids	Benzamides	Hippuric acids	FALSE	C9H10N2O3	194.0691	HMDB0001867	37899	61-78-9	NA	104011	2148	NA	HSMNQINEKMPTIC-UHFFFAOYSA-N	NA
M02010002.000	4-hydroxyhippurate	Benzenoids	Benzamides	Hippuric acids	FALSE	C9H9NO4	195.0532	HMDB0013678	42473	2482-25-9	NA	613375	151012	NA	ZMHLUFWWWPBTIU-UHFFFAOYSA-N	NA
M02010003.000	hippurate	Benzenoids	Benzamides	Hippuric acids	FALSE	C9H9NO3	179.0582	HMDB0000714	37382	495-69-2	C01586	18089	464	NA	QIAFMBKCNZACKA-UHFFFAOYSA-N	NA
M02010004.000	methylhippurate	Benzenoids	Benzamides	Hippuric acids	FALSE	C10H11NO3	193.0739	HMDB0000859	NA	1205-08-09	NA	468391	14566	NA	XTKVNQKOTKPCKM-UHFFFAOYSA-N	NA
M02010005.000	p-methylhippurate	Benzenoids	Benzamides	Hippuric acids	FALSE	C10H11NO3	193.0739	HMDB0013292	NA	27115-50-0	NA	103973	97479	NA	NRSCPTLHWVWLLH-UHFFFAOYSA-N	NA
M02020001.000	4-aminophenol	Benzenoids	Benzene and substituted derivatives	Aniline and substituted anilines	FALSE	C6H7NO	109.0528	HMDB0001169	37637	123-30-8	C02372	17602	403	NA	PLIKAWJENQZMHA-UHFFFAOYSA-N	NA
M02020002.000	sulfamethoxazole	Benzenoids	Benzene and substituted derivatives	Benzenesulfonamides	FALSE	C10H11N3O3S	253.0521	HMDB0015150	43260	723-46-6	C07315	9332	5329	NA	JLKIGFTWXXRPMT-UHFFFAOYSA-N	medicine/pesticide
M02020003.000	sulfapyridine	Benzenoids	Benzene and substituted derivatives	Benzenesulfonamides	FALSE	C11H11N3O2S	249.0572	HMDB0015028	43165	144-83-2	NA	132842	5336	NA	GECHUMIMRBOMGK-UHFFFAOYSA-N	medicine/pesticide
M02020004.000	3-methoxyanthranilate	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	FALSE	C8H9NO3	167.0582	HMDB0060374	NA	NA	NA	27440	255720	NA	SXOPCLUOUFQBJV-UHFFFAOYSA-N	NA
M02020005.000	4-acetamidobenzoate	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	FALSE	C9H9NO3	179.0582	NA	NA	NA	NA	NA	19266	NA	QCXJEYYXVJIFCE-UHFFFAOYSA-N	medicine/pesticide
M02020006.000	anthranilate	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	FALSE	C7H7NO2	137.0477	HMDB0001123	37613	118-92-3	C00108	30754	227	NA	RWZYAGGXGHYGMB-UHFFFAOYSA-N	NA
M02020007.000	ethyl-N-ethylanthranilate	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	FALSE	C11H15NO2	193.1103	HMDB0037698	NA	38446-21-8	NA	NA	61980	NA	VKRBJLSSQUIOHL-UHFFFAOYSA-N	NA
M02020008.000	methyl N-methylanthranilate	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	FALSE	C9H11NO2	165.079	HMDB0034169	NA	85-91-6	NA	NA	6826	NA	GVOWHGSUZUUUDR-UHFFFAOYSA-N	NA
M02020009.000	n-acetylprocainamide	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	FALSE	C15H23N3O2	277.179	HMDB0041944	NA	32795-44-1	NA	60728	4342	NA	KEECCEWTUVWFCV-UHFFFAOYSA-N	medicine/pesticide
M02020010.000	procaine	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	FALSE	C13H20N2O2	236.1525	HMDB0014859	NA	59-46-1	C07375	8430	4914	NA	MFDFERRIHVXMIY-UHFFFAOYSA-N	medicine/pesticide
M02020011.000	procarbazine	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	FALSE	C12H19N3O	221.1528	HMDB0015299	43386	671-16-9	C07402	366225	4915	NA	CPTBDICYNRMXFX-UHFFFAOYSA-N	medicine/pesticide
M02020012.000	econazole	Benzenoids	Benzene and substituted derivatives	Benzylethers	FALSE	C18H15Cl3N2O	380.025	HMDB0015259	43352	27220-47-9	C08068	4754	3198	NA	LEZWWPYKPKIXLL-UHFFFAOYSA-N	medicine/pesticide
M02020013.000	benzidine	Benzenoids	Benzene and substituted derivatives	Biphenyls and derivatives	FALSE	C12H12N2	184.1	HMDB0041835	NA	92-87-5	C16444	80495	7111	NA	HFACYLZERDEVSX-UHFFFAOYSA-N	NA
M02020014.000	O-desmethyltramadol	Benzenoids	Benzene and substituted derivatives	Cyclohexylphenols	FALSE	C15H23NO2	249.1729	HMDB0060997	NA	144830-14-8	NA	NA	9838803	NA	UWJUQVWARXYRCG-UHFFFAOYSA-N	medicine/pesticide
M02020015.000	flunarizine	Benzenoids	Benzene and substituted derivatives	Diphenylmethanes	FALSE	C26H26F2N2	404.2064	HMDB0015589	43629	52468-60-7	NA	138764	941361	NA	SMANXXCATUTDDT-QPJJXVBHSA-N	medicine/pesticide
M02020016.000	desglymidodrine	Benzenoids	Benzene and substituted derivatives	Methoxybenzenes	FALSE	C10H15NO3	197.1052	HMDB0060558	NA	NA	NA	73248	43260	NA	VFRCNXKYZVQYLX-UHFFFAOYSA-N	medicine/pesticide
M02020017.000	hordenine	Benzenoids	Benzene and substituted derivatives	Phenethylamines	FALSE	C10H15NO	165.1154	HMDB0004366	38519	539-15-1	C06199	5764	68313	NA	KUBCEEMXQZUPDQ-UHFFFAOYSA-N	NA
M02020018.000	m-tyramine	Benzenoids	Benzene and substituted derivatives	Phenethylamines	FALSE	C8H11NO	137.0841	HMDB0004989	NA	0588-05-06	NA	341165	11492	NA	GHFGJTVYMNRGBY-UHFFFAOYSA-N	NA
M02020019.000	tyramine	Benzenoids	Benzene and substituted derivatives	Phenethylamines	FALSE	C8H11NO	137.0841	HMDB0000306	37197	51-67-2	C00483	15760	5610	NA	DZGWFCGJZKJUFP-UHFFFAOYSA-N	NA
M02020020.000	atenolol	Benzenoids	Benzene and substituted derivatives	Phenylacetamides	FALSE	C14H22N2O3	266.163	HMDB0001924	54419	29122-68-7	C13235	2904	2249	NA	METKIMKYRPQLGS-UHFFFAOYSA-N	medicine/pesticide
M02020021.000	verapamil	Benzenoids	Benzene and substituted derivatives	Phenylbutylamines	FALSE	C27H38N2O4	454.2832	HMDB0001850	37889	52-53-9	C07188	9948	2520	NA	SGTNSNPWRIOYBX-UHFFFAOYSA-N	medicine/pesticide
M02020022.000	triprolidine	Benzenoids	Benzene and substituted derivatives	Styrenes	FALSE	C19H22N2	278.1783	HMDB0014571	42785	0486-12-4	NA	165539	5282443	NA	CBEQULMOCCWAQT-WOJGMQOQSA-N	medicine/pesticide
M02020023.000	"2,6-dimethylaniline"	Benzenoids	Benzene and substituted derivatives	Xylenes	FALSE	C8H11N	121.0891	HMDB0060677	NA	NA	C11004	28738	6896	NA	UFFBMTHBGFGIHF-UHFFFAOYSA-N	NA
M02020024.000	trimethylbenzene	Benzenoids	Benzene and substituted derivatives	NA	FALSE	C9H12	120.0939	HMDB0013733	NA	95-63-6	C14533	34039	7247	NA	GWHJZXXIDMPWGX-UHFFFAOYSA-N	NA
M02020025.000	2-hydroxyphenethylamine	Benzenoids	Benzene and substituted derivatives	Benzyl alcohols	FALSE	C8H11NO	137.0841	HMDB0001065	37582	7568-93-6	C02735	16343	1000	NA	ULSIYEODSMZIPX-UHFFFAOYSA-N	NA
M02020026.000	phenylethylamine	Benzenoids	Benzene and substituted derivatives	Phenethylamines	FALSE	C8H11N	121.0891	HMDB0012275	41966	64-04-0	C05332	18397	1001	NA	BHHGXPLMPWCGHP-UHFFFAOYSA-N	NA
M02020027.000	phenylpyruvate	Benzenoids	Benzene and substituted derivatives	Phenylpyruvic acid derivatives	FALSE	C9H8O3	164.0473	HMDB0000205	37133	0156-06-09	C00166	30851	997	NA	BTNMPGBKDVTSJY-UHFFFAOYSA-N	NA
M02020028.000	4-Hydroxystyrene	Benzenoids	Benzene and substituted derivatives	Styrenes	FALSE	C8H8O	120.0575	HMDB0062775	38454	131351-90-1	NA	82931	62453	NA	FUGYGGDSWSUORM-UHFFFAOYSA-N	NA
M02020029.000	methyl-3-hydroxybenzoate	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	FALSE	C8H8O3	152.0473	NA	NA	NA	NA	NA	NA	NA	NA	NA
M02020030.000	m-hydroxybenzoate	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	FALSE	C7H6O3	138.0317	HMDB0002466	38164	99-06-9	C00587	30764	7420	NA	IJFXRHURBJZNAO-UHFFFAOYSA-N	NA
M02020031.000	"3,4-dihydroxybenzoate"	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	FALSE	C7H6O4	154.0266	HMDB0001856	37892	99-50-3	C00230	36062	72	NA	YQUVCSBJEUQKSH-UHFFFAOYSA-N	NA
M02030001.000	monoethylhexyl phthalate	Benzenoids	Benzoic acids	Benzoic acid esters	FALSE	C16H22O4	278.1518	HMDB0013248	42273	4376-20-9	C03343	17243	20393	NA	DJDSLBVSSOQSLW-UHFFFAOYSA-N	NA
