FormName	Field.Name	Alias..Field.Name.description.	Data.Type	Categorical.Values	Categorical.Definitions	Alt.Field.Name	Calculated.Created.variable..1.yes.	Continous.Range.Min	Continous.Range.Max
	viallabel	This is the Primary sample id. Unique 11 digit numeric identifier of a sample vial made up of the BID, Timepoint, Sample Type, and Aliquot number	varchar			viallabel	NA	NA	NA
Animal Sample Processing	labelid	Unique 11 digit identifier for specimen label ID, originating at the collection site, that provides a link to specimen processing and used for shipments to the biorepository (will be the same as VialLabel only in instances where aliquots are not further processed at the biorepository)	varchar			labelid	NA	NA	NA
Animal Key	pid	Unique, randomly generated 8 digit numeric identifier used in linkage to phenotypic data	varchar			pid	NA	NA	NA
Animal Sample Processing	bid	Unique 5 digit numeric identifier of all samples collected for an acute test/sample collection period. All samples collected during that period will have the same BID.	varchar			bid	NA	NA	NA
Animal Key	Protocol	Protocol in which the procedures for sample collection were outlined.	int	|1|2	|Phase 1A|Phase 1B	Key.Protocol	NA	NA	NA
Animal Key	ageGroup	Age group for the animal	int	|1|2	|6 months|18 months	Key.ageGroup	NA	NA	NA
Animal Key	Intervention	For Phase 1A the exercise group is defined by those who complete the acute exercise test. For Phase 1B the exercise group is defined by those who complete exercise training.	int	|1|2|3	|Exercise (Phase 1A)|Training (Phase 1B)|Control	Key.Intervention	NA	NA	NA
Animal Key	SacrificeTime	For Phase 1A Sacrifice Time refers to the number of hours prior to sacrifice (post-acute test for the exercise group). For Phase 1B Sacrifice Time refers to the number of weeks of training.	int	|1|2|3|4|5|6|7|8|9|10|11	|Immediate Post Exercise (Phase 1A)|0.5 hour (Phase 1A)|1 hour (Phase 1A)|4 hour (Phase 1A)|7 hour (Phase 1A)|24 hour (Phase 1A)|48 hour (Phase 1A)|1 week of training or control time (Phase 1B)|2 weeks of training (Phase 1B)|4 weeks of training (Phase 1B)|8 weeks of training or control time (Phase 1B)	Key.SacrificeTime	NA	NA	NA
Animal Key	ANIRandGroup	Description of the randomization group	varchar			Key.ANIRandGroup	NA	NA	NA
Animal Key	siteName	The site where the samples were collected.  One of three PASS: Iowa, Florida, or Joslin.	int	|910|930|940	|Joslin|University of Florida|University of Iowa	Key.siteName	NA	NA	NA
Animal Registration	days_visit	[C] Day (in relation to arrival date) Completed	int			Registration.days_visit	1	NA	NA
Animal Registration	staffID	Staff ID	int			Registration.staffID	NA	NA	NA
Animal Registration	siteID	Site Numeric ID	int	|910|930|940	|Joslin Diabetes Center|University of Florida|University of Iowa	Registration.siteID	NA	NA	NA
Animal Registration	FormName	Form Name	varchar	Animal Registration		Registration.FormName	NA	NA	NA
Animal Registration	ratid	Site rat ID	varchar			Registration.ratid	NA	NA	NA
Animal Registration	days_arrive	[C] What day (in relation to arrival date) did the rat arrive at the site?	int			Registration.days_arrive	1	NA	NA
Animal Registration	batchnumber	Batch Number	varchar			Registration.batchnumber	NA	NA	NA
Animal Registration	days_reverselight	[C] What day (in relation to arrival date) was the rat housed in reverse light? (can be same as Q2)	int			Registration.days_reverselight	1	NA	NA
Animal Registration	days_birth	[C] What is the rat's day (in relation to arrival date) of birth?	int			Registration.days_birth	1	NA	NA
Animal Registration	sex	What is the sex of the rat?	int	|1|2	|Female|Male	Registration.sex	NA	NA	NA
Animal Registration	weight	What is the rat's body weight?	numeric			Registration.weight	NA	300	600
Animal Registration	cagenumber	In what cage number is the rat housed?	varchar			Registration.cagenumber	NA	NA	NA
Animal Registration	comments	Comments:	varchar(MAX)			Registration.comments	NA	NA	NA
Animal Familiarization	days_treadmillbegin	[C] What day (in relation to arrival date) did the rat begin treadmill familiarization?	int			Familiarization.days_treadmillbegin	1	NA	NA
Animal Familiarization	days_treadmillcomplete	[C] What day (in relation to arrival date) did the rat complete treadmill familiarization?	int			Familiarization.days_treadmillcomplete	1	NA	NA
Animal Familiarization	compliant	Is this rat compliant?	int	|1|0	|Yes|No	Familiarization.compliant	NA	NA	NA
Animal Familiarization	weight	What is the rat's body weight?	numeric			Familiarization.weight	NA	300	600
Animal Familiarization	fat	What is the rat's percent body fat?*	numeric			Familiarization.fat	NA	0	100
Animal Familiarization	lean	What is the rat's percent lean?*	numeric			Familiarization.lean	NA	0	100
Animal Familiarization	comments	Comments:	varchar(MAX)			Familiarization.comments	NA	NA	NA
Animal Familiarization	activity_score	What is the rat's activity score?	numeric			Familiarization.activity_score	NA	NA	NA
Animal NMR Testing	visitcode	Visit	varchar			NMR.Testing.visitcode	NA	NA	NA
Animal NMR Testing	days_nmr	[C] What day (in relation to arrival date) was the NMR data collected?	int			NMR.Testing.days_nmr	1	NA	NA
Animal NMR Testing	nmr_weight	What is the rat's body weight?	numeric			NMR.Testing.nmr_weight	NA	NA	NA
Animal NMR Testing	nmr_fat	What is the rat’s percent body fat?	numeric			NMR.Testing.nmr_fat	NA	NA	NA
Animal NMR Testing	nmr_lean	What is the rat's percent lean?	numeric			NMR.Testing.nmr_lean	NA	NA	NA
Animal NMR Testing	nmr_fluid	What is the rat's percent fluid?	numeric			NMR.Testing.nmr_fluid	NA	NA	NA
Animal NMR Testing	nmr_comments	Comments:	varchar(MAX)			NMR.Testing.nmr_comments	NA	NA	NA
Animal Training	day1_days	[C] Day 1 Day (in relation to arrival date)	int			Training.day1_days	1	NA	NA
Animal Training	day1time	Day 1 Time	varchar			Training.day1time	NA	NA	NA
Animal Training	day1_treadmillspeed	Day 1 Treadmill Speed	numeric			Training.day1_treadmillspeed	NA	NA	NA
Animal Training	day1_treadmillincline	Day 1 Treadmill Incline	numeric			Training.day1_treadmillincline	NA	NA	NA
Animal Training	day1_timeontreadmill	Day 1 Time on Treadmill	int			Training.day1_timeontreadmill	NA	NA	NA
Animal Training	day1_weight	Day 1 Weight	numeric			Training.day1_weight	NA	NA	NA
Animal Training	day1_posttrainlact	Day 1 Post-training Lactate	numeric			Training.day1_posttrainlact	NA	NA	NA
Animal Training	day1_score	Day 1 Score	int			Training.day1_score	NA	1	4
Animal Training	day1_comments	Day 1 Comments	varchar(MAX)			Training.day1_comments	NA	NA	NA
Animal Training	day2_days	[C] Day 2 Day (in relation to arrival date)	int			Training.day2_days	1	NA	NA
Animal Training	day2time	Day 2 Time	varchar			Training.day2time	NA	NA	NA
Animal Training	day2_treadmillspeed	Day 2 Treadmill Speed	numeric			Training.day2_treadmillspeed	NA	NA	NA
